Date : 2024-01-06 23:15:02
Directory : d:\Software\Python\Blog_Site
Total : 2492 files,  115434 codes, 15787 comments, 19065 blanks, all 150286 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\docprops\lang\ug.3de64bc6eab7.js                                          | JavaScript       |          3 |          0 |          0 |          3 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\docprops\lang\ug.js                                                       | JavaScript       |          3 |          0 |          0 |          3 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\docprops\lang\uk.ab434303bd1a.js                                          | JavaScript       |          3 |          0 |          0 |          3 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\docprops\lang\uk.js                                                       | JavaScript       |          3 |          0 |          0 |          3 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\docprops\lang\vi.2f513ff67473.js                                          | JavaScript       |          3 |          0 |          0 |          3 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\docprops\lang\vi.js                                                       | JavaScript       |          3 |          0 |          0 |          3 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\docprops\lang\zh-cn.68d3bf424bb9.js                                       | JavaScript       |          2 |          0 |          0 |          2 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\docprops\lang\zh-cn.js                                                    | JavaScript       |          2 |          0 |          0 |          2 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\docprops\lang\zh.961a8ec120b7.js                                          | JavaScript       |          2 |          0 |          0 |          2 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\docprops\lang\zh.js                                                       | JavaScript       |          2 |          0 |          0 |          2 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\docprops\plugin.d2afa1d109fd.js                                           | JavaScript       |          2 |          4 |          0 |          6 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\docprops\plugin.js                                                        | JavaScript       |          2 |          4 |          0 |          6 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\embed\plugin.f10680271a63.js                                              | JavaScript       |          2 |          4 |          0 |          6 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\embed\plugin.js                                                           | JavaScript       |          2 |          4 |          0 |          6 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\embedbase\dialogs\embedbase.27557f4f3ed3.js                               | JavaScript       |          2 |          4 |          0 |          6 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\embedbase\dialogs\embedbase.js                                            | JavaScript       |          2 |          4 |          0 |          6 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\embedbase\lang\cs.d6116c937422.js                                         | JavaScript       |          1 |          0 |          0 |          1 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\embedbase\lang\cs.js                                                      | JavaScript       |          1 |          0 |          0 |          1 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\embedbase\lang\da.8a8910f4e19b.js                                         | JavaScript       |          1 |          0 |          0 |          1 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\embedbase\lang\da.js                                                      | JavaScript       |          1 |          0 |          0 |          1 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\embedbase\lang\de.fd68ba1812be.js                                         | JavaScript       |          1 |          0 |          0 |          1 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\embedbase\lang\de.js                                                      | JavaScript       |          1 |          0 |          0 |          1 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\embedbase\lang\en.c49c66238c41.js                                         | JavaScript       |          1 |          0 |          0 |          1 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\embedbase\lang\en.js                                                      | JavaScript       |          1 |          0 |          0 |          1 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\embedbase\lang\eo.38a4689e53e6.js                                         | JavaScript       |          1 |          0 |          0 |          1 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\embedbase\lang\eo.js                                                      | JavaScript       |          1 |          0 |          0 |          1 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\embedbase\lang\fr.fe7ac82f6094.js                                         | JavaScript       |          1 |          0 |          0 |          1 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\embedbase\lang\fr.js                                                      | JavaScript       |          1 |          0 |          0 |          1 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\embedbase\lang\gl.36aa24161c45.js                                         | JavaScript       |          1 |          0 |          0 |          1 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\embedbase\lang\gl.js                                                      | JavaScript       |          1 |          0 |          0 |          1 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\embedbase\lang\it.c4a6ae114f8f.js                                         | JavaScript       |          1 |          0 |          0 |          1 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\embedbase\lang\it.js                                                      | JavaScript       |          1 |          0 |          0 |          1 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\embedbase\lang\ko.01923bab6181.js                                         | JavaScript       |          1 |          0 |          0 |          1 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\embedbase\lang\ko.js                                                      | JavaScript       |          1 |          0 |          0 |          1 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\embedbase\lang\ku.e82b14172487.js                                         | JavaScript       |          1 |          0 |          0 |          1 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\embedbase\lang\ku.js                                                      | JavaScript       |          1 |          0 |          0 |          1 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\embedbase\lang\nb.c9c385ea855d.js                                         | JavaScript       |          1 |          0 |          0 |          1 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\embedbase\lang\nb.js                                                      | JavaScript       |          1 |          0 |          0 |          1 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\embedbase\lang\nl.da88dd3b0fec.js                                         | JavaScript       |          1 |          0 |          0 |          1 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\embedbase\lang\nl.js                                                      | JavaScript       |          1 |          0 |          0 |          1 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\embedbase\lang\pl.d411696e84f6.js                                         | JavaScript       |          1 |          0 |          0 |          1 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\embedbase\lang\pl.js                                                      | JavaScript       |          1 |          0 |          0 |          1 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\embedbase\lang\pt-br.803f5beff553.js                                      | JavaScript       |          1 |          0 |          0 |          1 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\embedbase\lang\pt-br.js                                                   | JavaScript       |          1 |          0 |          0 |          1 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\embedbase\lang\ru.37fc22daa350.js                                         | JavaScript       |          1 |          0 |          0 |          1 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\embedbase\lang\ru.js                                                      | JavaScript       |          1 |          0 |          0 |          1 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\embedbase\lang\sv.7c9542c91cec.js                                         | JavaScript       |          1 |          0 |          0 |          1 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\embedbase\lang\sv.js                                                      | JavaScript       |          1 |          0 |          0 |          1 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\embedbase\lang\tr.500341174a05.js                                         | JavaScript       |          1 |          0 |          0 |          1 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\embedbase\lang\tr.js                                                      | JavaScript       |          1 |          0 |          0 |          1 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\embedbase\lang\zh-cn.ba489c9e4ee0.js                                      | JavaScript       |          1 |          0 |          0 |          1 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\embedbase\lang\zh-cn.js                                                   | JavaScript       |          1 |          0 |          0 |          1 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\embedbase\lang\zh.af4f96e76957.js                                         | JavaScript       |          1 |          0 |          0 |          1 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\embedbase\lang\zh.js                                                      | JavaScript       |          1 |          0 |          0 |          1 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\embedbase\plugin.37afa70fa023.js                                          | JavaScript       |          7 |          4 |          0 |         11 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\embedbase\plugin.js                                                       | JavaScript       |          7 |          4 |          0 |         11 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\embedsemantic\plugin.3d8e95ccd128.js                                      | JavaScript       |          3 |          4 |          0 |          7 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\embedsemantic\plugin.js                                                   | JavaScript       |          3 |          4 |          0 |          7 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\exportpdf\CHANGELOG.d219df767b86.md                                       | Markdown         |         39 |          0 |         34 |         73 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\exportpdf\CHANGELOG.md                                                    | Markdown         |         39 |          0 |         34 |         73 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\exportpdf\LICENSE.a9fa2a375863.md                                         | Markdown         |         12 |          0 |          7 |         19 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\exportpdf\LICENSE.md                                                      | Markdown         |         12 |          0 |          7 |         19 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\exportpdf\README.4fdbb8872c35.md                                          | Markdown         |         63 |          0 |         40 |        103 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\exportpdf\README.md                                                       | Markdown         |         63 |          0 |         40 |        103 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\exportpdf\plugindefinition.ecaa88f7fa0b.js                                | JavaScript       |          0 |          0 |          1 |          1 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\exportpdf\plugindefinition.js                                             | JavaScript       |          0 |          0 |          1 |          1 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\exportpdf\tests\_helpers\tools.ea1484d31cdd.js                            | JavaScript       |          1 |          4 |          0 |          5 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\exportpdf\tests\_helpers\tools.js                                         | JavaScript       |          1 |          4 |          0 |          5 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\exportpdf\tests\authentication.80a34b29b268.js                            | JavaScript       |          6 |          0 |          0 |          6 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\exportpdf\tests\authentication.js                                         | JavaScript       |          6 |          0 |          0 |          6 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\exportpdf\tests\exportpdf.2e62a320aaf7.js                                 | JavaScript       |         10 |          0 |          0 |         10 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\exportpdf\tests\exportpdf.js                                              | JavaScript       |         10 |          0 |          0 |         10 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\exportpdf\tests\manual\configfilename.5e6c5d88d746.md                     | Markdown         |         26 |          0 |         21 |         47 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\exportpdf\tests\manual\configfilename.8806cdc1dd74.html                   | HTML             |         21 |          0 |          7 |         28 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\exportpdf\tests\manual\configfilename.html                                | HTML             |         21 |          0 |          7 |         28 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\exportpdf\tests\manual\configfilename.md                                  | Markdown         |         26 |          0 |         21 |         47 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\exportpdf\tests\manual\emptyeditor.42a68dbd860c.md                        | Markdown         |         23 |          0 |         12 |         35 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\exportpdf\tests\manual\emptyeditor.f288d408357a.html                      | HTML             |         13 |          0 |          6 |         19 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\exportpdf\tests\manual\emptyeditor.html                                   | HTML             |         13 |          0 |          6 |         19 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\exportpdf\tests\manual\emptyeditor.md                                     | Markdown         |         23 |          0 |         12 |         35 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\exportpdf\tests\manual\integration.4221d34b0204.html                      | HTML             |        115 |          0 |         34 |        149 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\exportpdf\tests\manual\integration.e481e2d30d66.md                        | Markdown         |          8 |          0 |          5 |         13 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\exportpdf\tests\manual\integration.html                                   | HTML             |        115 |          0 |         34 |        149 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\exportpdf\tests\manual\integration.md                                     | Markdown         |          8 |          0 |          5 |         13 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\exportpdf\tests\manual\integrations\easyimage.1655eb207559.html           | HTML             |         21 |          0 |          7 |         28 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\exportpdf\tests\manual\integrations\easyimage.82ce5cf80f39.md             | Markdown         |         16 |          0 |         11 |         27 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\exportpdf\tests\manual\integrations\easyimage.html                        | HTML             |         21 |          0 |          7 |         28 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\exportpdf\tests\manual\integrations\easyimage.md                          | Markdown         |         16 |          0 |         11 |         27 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\exportpdf\tests\manual\notifications.3b68d581a994.html                    | HTML             |         15 |          0 |          5 |         20 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\exportpdf\tests\manual\notifications.ba965933df0b.md                      | Markdown         |         26 |          0 |         11 |         37 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\exportpdf\tests\manual\notifications.html                                 | HTML             |         15 |          0 |          5 |         20 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\exportpdf\tests\manual\notifications.md                                   | Markdown         |         26 |          0 |         11 |         37 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\exportpdf\tests\manual\notificationsasync.7d9bede48511.html               | HTML             |         35 |          0 |         11 |         46 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\exportpdf\tests\manual\notificationsasync.9bb4d9e469a6.md                 | Markdown         |         17 |          0 |         11 |         28 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\exportpdf\tests\manual\notificationsasync.html                            | HTML             |         35 |          0 |         11 |         46 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\exportpdf\tests\manual\notificationsasync.md                              | Markdown         |         17 |          0 |         11 |         28 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\exportpdf\tests\manual\paperformat.39869f03bec4.md                        | Markdown         |         13 |          0 |          6 |         19 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\exportpdf\tests\manual\paperformat.8b6dea8bc743.html                      | HTML             |         25 |          0 |          5 |         30 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\exportpdf\tests\manual\paperformat.html                                   | HTML             |         25 |          0 |          5 |         30 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\exportpdf\tests\manual\paperformat.md                                     | Markdown         |         13 |          0 |          6 |         19 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\exportpdf\tests\manual\readonly.2c35eafa0266.html                         | HTML             |         13 |          0 |          6 |         19 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\exportpdf\tests\manual\readonly.f1afff342c7c.md                           | Markdown         |         17 |          0 |         12 |         29 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\exportpdf\tests\manual\readonly.html                                      | HTML             |         13 |          0 |          6 |         19 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\exportpdf\tests\manual\readonly.md                                        | Markdown         |         17 |          0 |         12 |         29 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\exportpdf\tests\manual\stylesheets.2e1995cab7be.html                      | HTML             |         30 |          0 |          7 |         37 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\exportpdf\tests\manual\stylesheets.8fff29bde78c.md                        | Markdown         |         12 |          0 |          8 |         20 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\exportpdf\tests\manual\stylesheets.html                                   | HTML             |         30 |          0 |          7 |         37 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\exportpdf\tests\manual\stylesheets.md                                     | Markdown         |         12 |          0 |          8 |         20 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\exportpdf\tests\manual\tokenfetching.2c547ed006d8.html                    | HTML             |         17 |          0 |          7 |         24 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\exportpdf\tests\manual\tokenfetching.6833ce97b5ca.md                      | Markdown         |         12 |          0 |          8 |         20 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\exportpdf\tests\manual\tokenfetching.html                                 | HTML             |         17 |          0 |          7 |         24 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\exportpdf\tests\manual\tokenfetching.md                                   | Markdown         |         12 |          0 |          8 |         20 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\exportpdf\tests\manual\tokentwoeditorscorrect.326056fa599f.md             | Markdown         |          9 |          0 |          6 |         15 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\exportpdf\tests\manual\tokentwoeditorscorrect.e28f29e71388.html           | HTML             |         30 |          0 |          9 |         39 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\exportpdf\tests\manual\tokentwoeditorscorrect.html                        | HTML             |         30 |          0 |          9 |         39 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\exportpdf\tests\manual\tokentwoeditorscorrect.md                          | Markdown         |          9 |          0 |          6 |         15 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\exportpdf\tests\manual\tokentwoeditorswrong.86f961ab1ca2.html             | HTML             |         30 |          0 |          9 |         39 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\exportpdf\tests\manual\tokentwoeditorswrong.9b0041a5b1bd.md               | Markdown         |          9 |          0 |          6 |         15 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\exportpdf\tests\manual\tokentwoeditorswrong.html                          | HTML             |         30 |          0 |          9 |         39 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\exportpdf\tests\manual\tokentwoeditorswrong.md                            | Markdown         |          9 |          0 |          6 |         15 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\exportpdf\tests\manual\tokenwithouturl.0a672a8454c6.html                  | HTML             |         14 |          0 |          6 |         20 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\exportpdf\tests\manual\tokenwithouturl.e86a29f37a6e.md                    | Markdown         |         18 |          0 |         14 |         32 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\exportpdf\tests\manual\tokenwithouturl.html                               | HTML             |         14 |          0 |          6 |         20 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\exportpdf\tests\manual\tokenwithouturl.md                                 | Markdown         |         18 |          0 |         14 |         32 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\exportpdf\tests\manual\wrongendpoint.3aa92003c784.md                      | Markdown         |         23 |          0 |         12 |         35 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\exportpdf\tests\manual\wrongendpoint.4aaa4cb4fd2e.html                    | HTML             |         17 |          0 |          5 |         22 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\exportpdf\tests\manual\wrongendpoint.html                                 | HTML             |         17 |          0 |          5 |         22 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\exportpdf\tests\manual\wrongendpoint.md                                   | Markdown         |         23 |          0 |         12 |         35 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\exportpdf\tests\notification.db0a3a358fdd.js                              | JavaScript       |          4 |          0 |          0 |          4 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\exportpdf\tests\notification.js                                           | JavaScript       |          4 |          0 |          0 |          4 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\exportpdf\tests\resourcespaths.c241a2b2b324.js                            | JavaScript       |          9 |          0 |          0 |          9 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\exportpdf\tests\resourcespaths.js                                         | JavaScript       |          9 |          0 |          0 |          9 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\exportpdf\tests\statistics.c139f88fb95f.js                                | JavaScript       |          3 |          0 |          0 |          3 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\exportpdf\tests\statistics.js                                             | JavaScript       |          3 |          0 |          0 |          3 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\exportpdf\tests\stylesheets.0f011729232d.js                               | JavaScript       |         18 |          0 |          0 |         18 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\exportpdf\tests\stylesheets.js                                            | JavaScript       |         18 |          0 |          0 |         18 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\filetools\lang\cs.cca8b9490d37.js                                         | JavaScript       |          1 |          4 |          0 |          5 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\filetools\lang\cs.js                                                      | JavaScript       |          1 |          4 |          0 |          5 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\filetools\lang\da.c7fc5765bc6e.js                                         | JavaScript       |          1 |          4 |          0 |          5 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\filetools\lang\da.js                                                      | JavaScript       |          1 |          4 |          0 |          5 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\filetools\lang\de.1a28593250e6.js                                         | JavaScript       |          2 |          4 |          0 |          6 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\filetools\lang\de.js                                                      | JavaScript       |          2 |          4 |          0 |          6 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\filetools\lang\en.0db56bca81ad.js                                         | JavaScript       |          1 |          4 |          0 |          5 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\filetools\lang\en.js                                                      | JavaScript       |          1 |          4 |          0 |          5 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\filetools\lang\eo.80e10ce95867.js                                         | JavaScript       |          1 |          4 |          0 |          5 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\filetools\lang\eo.js                                                      | JavaScript       |          1 |          4 |          0 |          5 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\filetools\lang\fr.25cbe913ef94.js                                         | JavaScript       |          2 |          4 |          0 |          6 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\filetools\lang\fr.js                                                      | JavaScript       |          2 |          4 |          0 |          6 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\filetools\lang\gl.6bf466b784bf.js                                         | JavaScript       |          1 |          4 |          0 |          5 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\filetools\lang\gl.js                                                      | JavaScript       |          1 |          4 |          0 |          5 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\filetools\lang\it.3acce8b7b5cb.js                                         | JavaScript       |          2 |          4 |          0 |          6 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\filetools\lang\it.js                                                      | JavaScript       |          2 |          4 |          0 |          6 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\filetools\lang\ko.bbaf4537da00.js                                         | JavaScript       |          1 |          4 |          0 |          5 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\filetools\lang\ko.js                                                      | JavaScript       |          1 |          4 |          0 |          5 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\filetools\lang\ku.378e1013e321.js                                         | JavaScript       |          1 |          4 |          0 |          5 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\filetools\lang\ku.js                                                      | JavaScript       |          1 |          4 |          0 |          5 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\filetools\lang\nb.63298b369de0.js                                         | JavaScript       |          1 |          4 |          0 |          5 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\filetools\lang\nb.js                                                      | JavaScript       |          1 |          4 |          0 |          5 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\filetools\lang\nl.67cd3c3b1e55.js                                         | JavaScript       |          1 |          4 |          0 |          5 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\filetools\lang\nl.js                                                      | JavaScript       |          1 |          4 |          0 |          5 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\filetools\lang\pl.5abe693c7b3c.js                                         | JavaScript       |          1 |          4 |          0 |          5 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\filetools\lang\pl.js                                                      | JavaScript       |          1 |          4 |          0 |          5 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\filetools\lang\pt-br.394c5fcaa3dc.js                                      | JavaScript       |          1 |          4 |          0 |          5 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\filetools\lang\pt-br.js                                                   | JavaScript       |          1 |          4 |          0 |          5 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\filetools\lang\ru.6b37f0cd8b5a.js                                         | JavaScript       |          1 |          4 |          0 |          5 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\filetools\lang\ru.js                                                      | JavaScript       |          1 |          4 |          0 |          5 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\filetools\lang\sv.51e4df2fdb75.js                                         | JavaScript       |          1 |          4 |          0 |          5 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\filetools\lang\sv.js                                                      | JavaScript       |          1 |          4 |          0 |          5 |
| d:\Software\Python\Blog_Site\static\ckeditor\ckeditor\plugins\filetools\lang\tr.1db08dff422f.js                                         | JavaScript       |          1 |          4 |          0 |          5 |
